Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2025-02-18,0,87,43,15,14,0
2025-02-11,0,89,73,16,14,0
2025-02-04,0,89,73,16,14,0
2025-01-28,0,89,73,16,14,0
2025-01-21,0,89,22,16,14,0
2025-01-14,0,88,16,16,0,0
2025-01-07,0,88,16,0,0,0
2024-12-31,0,82,16,0,0,0
2024-12-24,0,82,15,0,0,0
2024-12-17,0,79,17,0,0,0
2024-12-10,0,79,17,0,0,0
2024-12-03,0,78,17,0,0,0
2024-11-26,0,78,17,0,0,0
2024-11-19,0,90,17,0,0,0
2024-11-12,0,90,17,0,0,0
2024-11-05,0,90,16,0,0,0
2024-10-29,0,90,16,0,0,0
2024-10-22,0,90,18,0,0,0
2024-10-15,0,90,18,0,0,0
2024-10-08,0,90,18,0,0,0
2024-10-01,0,67,1,0,0,0
2024-09-24,0,67,1,0,0,0
2024-09-17,0,67,1,0,0,0
2024-09-10,0,67,1,0,0,0
2024-09-03,0,36,1,0,0,0
2024-08-27,0,25,2,0,0,0
2024-08-20,0,9,2,0,0,0
2024-08-13,0,4,2,0,0,0
2024-08-06,0,4,2,0,0,0
2024-07-30,0,4,2,0,0,0
2024-07-23,0,4,2,0,0,0
2024-07-16,0,4,0,0,0,0
2024-07-09,0,4,0,0,0,0
2024-06-25,0,0,0,0,0,0
2024-06-18,0,0,0,0,0,0
2024-06-11,0,0,0,0,0,0
2024-06-04,0,0,0,0,0,0
2024-05-28,0,0,0,0,0,0
2024-05-21,0,0,0,0,0,0
2024-05-14,0,0,0,0,0,0
2024-05-07,0,0,0,0,0,0
2024-04-30,0,0,0,0,0,0
2024-04-23,0,0,0,0,0,0
2024-04-16,0,0,0,0,0,0
2024-04-09,0,0,0,0,0,0
2024-04-02,0,1,0,0,0,0
2024-03-26,0,1,0,0,0,0
2024-03-19,0,1,0,0,0,0
2024-03-12,0,1,0,0,0,0
2024-03-05,0,1,0,0,0,0
2024-02-27,0,1,0,0,0,0
2024-02-20,0,1,0,0,0,0
2024-02-13,0,1,0,0,0,0
2024-02-06,0,1,0,0,0,0
2024-01-30,0,2,0,0,0,0
2024-01-23,0,1,0,0,0,0
2024-01-16,0,1,0,0,0,0
2024-01-09,0,1,0,0,0,0
2024-01-02,0,1,0,0,0,0
2023-12-26,0,1,0,0,0,0
2023-12-19,0,1,0,0,0,0
2023-12-12,0,1,0,0,0,0
2023-12-05,0,1,0,0,0,0
2023-11-28,0,1,0,0,0,0
2023-11-21,0,1,0,0,0,0
2023-11-14,0,1,0,0,0,0
2023-11-07,0,2,0,0,0,0
2023-10-31,0,2,0,0,0,0
2023-10-24,0,2,0,0,0,0
2023-10-17,0,2,0,0,0,0
2023-10-10,0,2,0,0,0,0
2023-10-03,0,2,0,0,0,0
2023-09-26,0,2,0,0,0,0
2023-09-19,0,2,0,0,0,0
2023-09-12,0,2,0,0,0,0
2023-09-05,0,2,0,0,0,0
2023-08-29,0,2,0,0,0,0
2023-08-22,0,2,0,0,0,0
2023-08-15,0,19,2,0,0,0
2023-08-08,0,19,2,0,0,0
2023-08-01,0,18,2,0,0,0
2023-07-25,0,18,2,0,0,0
2023-07-18,0,18,2,0,0,0
2023-07-11,0,20,2,0,0,0
2023-07-04,0,20,2,0,0,0
2023-06-27,0,20,2,0,0,0
2023-06-20,0,20,2,0,0,0
2023-06-13,0,20,2,0,0,0
2023-06-06,0,20,2,0,0,0
2023-05-30,0,20,2,0,0,0
2023-05-23,0,20,2,0,0,0
2023-05-16,0,20,2,0,0,0
2023-05-09,0,20,2,0,0,0
2023-05-02,0,20,2,0,0,0
2023-04-25,0,20,2,0,0,0
2023-04-18,0,20,2,0,0,0
2023-04-11,0,20,2,0,0,0
2023-04-04,0,24,5,0,0,0
2023-03-28,0,24,5,2,0,0
2023-03-21,0,25,9,3,0,0
2023-03-14,0,25,10,3,0,0
2023-03-07,0,50,10,8,0,0
2023-02-28,0,92,16,8,0,0
2023-02-21,0,100,81,15,0,0
2023-02-14,0,100,81,15,0,0
2023-02-07,0,100,81,15,0,0
2023-01-31,0,100,82,15,0,0
2023-01-24,0,100,82,15,0,0
2023-01-17,0,100,84,48,0,0
2023-01-10,0,100,84,54,0,0
2023-01-03,0,100,85,82,50,0
2022-12-27,0,100,85,83,73,21
2022-12-20,0,100,85,83,73,21
2022-12-13,0,100,85,83,73,21
2022-12-06,0,100,100,83,73,61
2022-11-29,0,100,100,83,74,61
2022-11-22,0,100,100,83,74,61
2022-11-15,0,100,100,83,74,61
2022-11-08,0,100,100,83,74,61
2022-11-01,0,100,100,84,74,61
2022-10-25,0,100,100,84,74,61
2022-10-18,0,100,100,84,73,61
2022-10-11,0,100,100,85,73,61
2022-10-04,0,100,100,85,73,61
2022-09-27,0,100,100,85,73,61
2022-09-20,0,100,100,85,73,61
2022-09-13,0,100,100,85,73,61
2022-09-06,0,100,100,100,73,61
2022-08-30,0,100,100,100,73,61
2022-08-23,0,100,100,100,88,61
2022-08-16,0,100,100,100,88,61
2022-08-09,0,100,100,100,88,61
