MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20250211,06001,Alameda County,CA,305.53,443.20,0.00,0.00,0.00,0.00,2025-02-11,2025-02-17,2
20250204,06001,Alameda County,CA,305.53,443.20,0.00,0.00,0.00,0.00,2025-02-04,2025-02-10,2
20250128,06001,Alameda County,CA,305.53,443.20,0.00,0.00,0.00,0.00,2025-01-28,2025-02-03,2
20250121,06001,Alameda County,CA,305.53,443.20,0.00,0.00,0.00,0.00,2025-01-21,2025-01-27,2
20250114,06001,Alameda County,CA,305.53,443.20,0.00,0.00,0.00,0.00,2025-01-14,2025-01-20,2
20250107,06001,Alameda County,CA,305.53,443.20,0.00,0.00,0.00,0.00,2025-01-07,2025-01-13,2
20241231,06001,Alameda County,CA,305.53,443.20,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,2
20241224,06001,Alameda County,CA,305.54,443.19,0.00,0.00,0.00,0.00,2024-12-24,2024-12-30,2
20241217,06001,Alameda County,CA,305.54,443.19,0.00,0.00,0.00,0.00,2024-12-17,2024-12-23,2
20241210,06001,Alameda County,CA,305.59,443.14,0.00,0.00,0.00,0.00,2024-12-10,2024-12-16,2
20241203,06001,Alameda County,CA,305.59,443.14,0.00,0.00,0.00,0.00,2024-12-03,2024-12-09,2
20241126,06001,Alameda County,CA,305.59,443.14,0.00,0.00,0.00,0.00,2024-11-26,2024-12-02,2
20241119,06001,Alameda County,CA,0.00,748.73,0.00,0.00,0.00,0.00,2024-11-19,2024-11-25,2
20241112,06001,Alameda County,CA,0.00,748.73,0.00,0.00,0.00,0.00,2024-11-12,2024-11-18,2
20241105,06001,Alameda County,CA,0.00,748.73,0.00,0.00,0.00,0.00,2024-11-05,2024-11-11,2
20241029,06001,Alameda County,CA,0.00,748.73,0.00,0.00,0.00,0.00,2024-10-29,2024-11-04,2
20241022,06001,Alameda County,CA,0.00,748.73,0.00,0.00,0.00,0.00,2024-10-22,2024-10-28,2
20241015,06001,Alameda County,CA,0.00,748.73,0.00,0.00,0.00,0.00,2024-10-15,2024-10-21,2
20241008,06001,Alameda County,CA,0.00,748.73,0.00,0.00,0.00,0.00,2024-10-08,2024-10-14,2
20241001,06001,Alameda County,CA,0.00,748.73,0.00,0.00,0.00,0.00,2024-10-01,2024-10-07,2
20240924,06001,Alameda County,CA,0.00,748.73,0.00,0.00,0.00,0.00,2024-09-24,2024-09-30,2
20240917,06001,Alameda County,CA,0.00,748.73,0.00,0.00,0.00,0.00,2024-09-17,2024-09-23,2
20240910,06001,Alameda County,CA,0.00,748.73,0.00,0.00,0.00,0.00,2024-09-10,2024-09-16,2
20240903,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-09-03,2024-09-09,2
20240827,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,2
20240820,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-08-20,2024-08-26,2
20240813,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,2
20240806,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-08-06,2024-08-12,2
20240730,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-07-30,2024-08-05,2
20240723,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-07-23,2024-07-29,2
20240716,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-07-16,2024-07-22,2
20240709,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-07-09,2024-07-15,2
20240702,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-07-02,2024-07-08,2
20240625,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,2
20240618,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,2
20240611,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,2
20240604,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,2
20240528,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,2
20240521,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,2
20240514,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-05-14,2024-05-20,2
20240507,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-05-07,2024-05-13,2
20240430,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-04-30,2024-05-06,2
20240423,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,2
20240416,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,2
20240409,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,2
20240402,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,2
20240326,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,2
20240319,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,2
20240312,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-03-12,2024-03-18,2
20240305,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-03-05,2024-03-11,2
20240227,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-02-27,2024-03-04,2
20240220,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-02-20,2024-02-26,2
20240213,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-02-13,2024-02-19,2
20240206,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-02-06,2024-02-12,2
20240130,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-01-30,2024-02-05,2
20240123,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-01-23,2024-01-29,2
20240116,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-01-16,2024-01-22,2
20240109,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-01-09,2024-01-15,2
20240102,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2024-01-02,2024-01-08,2
20231226,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2023-12-26,2024-01-01,2
20231219,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2023-12-19,2023-12-25,2
20231212,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2023-12-12,2023-12-18,2
20231205,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2023-12-05,2023-12-11,2
20231128,06001,Alameda County,CA,748.73,0.00,0.00,0.00,0.00,0.00,2023-11-28,2023-12-04,2
