Week,None,D0,D1,D2,D3,D4,DSCI
2025-02-18,41.82,16.61,16.74,10.08,14.75,0.00,139
2025-02-11,33.22,12.47,19.65,13.45,21.21,0.00,177
2025-02-04,33.22,12.47,19.65,13.45,21.21,0.00,177
2025-01-28,33.22,12.47,21.45,20.98,11.88,0.00,166
2025-01-21,33.22,27.40,6.53,20.96,11.90,0.00,151
2025-01-14,39.11,24.96,8.98,25.88,1.06,0.00,125
2025-01-07,39.11,24.96,25.50,9.37,1.06,0.00,108
2024-12-31,40.90,27.58,25.82,4.63,1.06,0.00,97
2024-12-24,43.49,39.79,11.03,4.67,1.03,0.00,80
2024-12-17,43.49,39.79,11.03,4.67,1.03,0.00,80
2024-12-10,43.46,39.82,11.03,4.67,1.03,0.00,80
2024-12-03,56.78,26.50,11.03,4.67,1.03,0.00,67
2024-11-26,56.09,27.18,11.03,4.67,1.03,0.00,67
2024-11-19,28.61,54.52,11.37,4.56,0.95,0.00,95
2024-11-12,25.51,57.48,11.50,4.56,0.95,0.00,98
2024-11-05,25.53,62.21,7.95,4.30,0.00,0.00,91
2024-10-29,25.37,62.37,7.96,4.30,0.00,0.00,91
2024-10-22,24.68,61.28,9.74,4.30,0.00,0.00,94
2024-10-15,24.68,61.28,9.74,4.30,0.00,0.00,94
2024-10-08,24.68,61.55,12.06,1.72,0.00,0.00,91
2024-10-01,28.40,60.94,10.59,0.08,0.00,0.00,82
2024-09-24,28.59,60.75,10.59,0.08,0.00,0.00,82
2024-09-17,28.59,60.75,10.59,0.08,0.00,0.00,82
2024-09-10,28.59,60.73,10.61,0.08,0.00,0.00,82
2024-09-03,45.59,46.05,8.36,0.00,0.00,0.00,63
2024-08-27,58.11,34.98,6.81,0.10,0.00,0.00,49
2024-08-20,66.59,26.50,6.81,0.10,0.00,0.00,40
2024-08-13,77.29,17.40,5.32,0.00,0.00,0.00,28
2024-08-06,77.26,17.43,5.32,0.00,0.00,0.00,28
2024-07-30,78.78,16.77,4.44,0.00,0.00,0.00,26
2024-07-23,78.80,16.76,4.44,0.00,0.00,0.00,26
2024-07-16,78.80,19.59,1.62,0.00,0.00,0.00,23
2024-07-09,80.72,18.50,0.77,0.00,0.00,0.00,20
2024-07-02,94.25,5.75,0.00,0.00,0.00,0.00,6
2024-06-25,97.18,2.82,0.00,0.00,0.00,0.00,3
2024-06-18,98.79,1.21,0.00,0.00,0.00,0.00,1
2024-06-11,98.79,1.21,0.00,0.00,0.00,0.00,1
