State,County,FIPS,MapDate,DSCI
CA,Alameda County,06001,20190101,150
CA,Alameda County,06001,20190108,150
CA,Alameda County,06001,20190115,150
CA,Alameda County,06001,20190122,150
CA,Alameda County,06001,20190129,51
CA,Alameda County,06001,20190205,72
CA,Alameda County,06001,20190212,0
CA,Alameda County,06001,20190219,0
CA,Alameda County,06001,20190226,0
CA,Alameda County,06001,20190305,0
CA,Alameda County,06001,20190312,0
CA,Alameda County,06001,20190319,0
CA,Alameda County,06001,20190326,0
CA,Alameda County,06001,20190402,0
CA,Alameda County,06001,20190409,0
CA,Alameda County,06001,20190416,0
CA,Alameda County,06001,20190423,0
CA,Alameda County,06001,20190430,0
CA,Alameda County,06001,20190507,0
CA,Alameda County,06001,20190514,0
CA,Alameda County,06001,20190521,0
CA,Alameda County,06001,20190528,0
CA,Alameda County,06001,20190604,0
CA,Alameda County,06001,20190611,0
CA,Alameda County,06001,20190618,0
CA,Alameda County,06001,20190625,0
CA,Alameda County,06001,20190702,0
CA,Alameda County,06001,20190709,0
CA,Alameda County,06001,20190716,0
CA,Alameda County,06001,20190723,0
CA,Alameda County,06001,20190730,0
CA,Alameda County,06001,20190806,0
CA,Alameda County,06001,20190813,0
CA,Alameda County,06001,20190820,0
CA,Alameda County,06001,20190827,0
CA,Alameda County,06001,20190903,0
CA,Alameda County,06001,20190910,0
CA,Alameda County,06001,20190917,0
CA,Alameda County,06001,20190924,0
CA,Alameda County,06001,20191001,0
CA,Alameda County,06001,20191008,0
CA,Alameda County,06001,20191015,0
CA,Alameda County,06001,20191022,0
CA,Alameda County,06001,20191029,0
CA,Alameda County,06001,20191105,0
CA,Alameda County,06001,20191112,100
CA,Alameda County,06001,20191119,100
CA,Alameda County,06001,20191126,100
CA,Alameda County,06001,20191203,100
CA,Alameda County,06001,20191210,0
CA,Alameda County,06001,20191217,0
CA,Alameda County,06001,20191224,0
CA,Alameda County,06001,20191231,0
CA,Alameda County,06001,20200107,0
CA,Alameda County,06001,20200114,0
CA,Alameda County,06001,20200121,0
CA,Alameda County,06001,20200128,91
CA,Alameda County,06001,20200204,91
CA,Alameda County,06001,20200211,97
CA,Alameda County,06001,20200218,97
CA,Alameda County,06001,20200225,105
CA,Alameda County,06001,20200303,199
CA,Alameda County,06001,20200310,200
