Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2025-02-18,"9,662,439","27,591,517","23,002,450","19,176,460","8,562,022",0,139
2025-02-11,"7,187,271","30,066,685","24,519,571","21,777,349","16,565,586",0,177
2025-02-04,"7,187,271","30,066,685","24,519,571","21,777,349","16,565,586",0,177
2025-01-28,"7,187,271","30,066,685","24,519,571","21,450,476","8,990,063",0,166
2025-01-21,"7,187,271","30,066,685","22,223,654","21,450,476","8,997,852",0,151
2025-01-14,"8,901,023","28,352,933","21,749,901","19,418,266","221,462",0,125
2025-01-07,"8,901,023","28,352,933","21,749,901","12,388,932","221,462",0,108
2024-12-31,"9,169,303","28,084,653","18,851,460","1,151,522","221,462",0,97
2024-12-24,"9,633,795","27,620,162","2,573,353","1,151,522","219,154",0,80
2024-12-17,"9,633,795","27,620,162","2,573,353","1,151,522","219,154",0,80
2024-12-10,"9,609,627","27,644,329","2,573,353","1,151,522","219,154",0,80
2024-12-03,"26,705,936","10,548,020","2,573,353","1,151,522","219,154",0,67
2024-11-26,"26,698,050","10,555,907","2,573,353","1,151,522","219,154",0,67
2024-11-19,"18,867,004","18,386,953","2,575,054","1,113,099","206,093",0,95
2024-11-12,"18,771,975","18,481,981","2,576,491","1,113,099","206,093",0,98
2024-11-05,"18,777,520","18,476,437","2,346,981","978,058",0,0,91
2024-10-29,"18,788,913","18,465,043","2,347,221","978,058",0,0,91
2024-10-22,"18,763,774","18,490,183","2,452,057","978,058",0,0,94
2024-10-15,"18,763,774","18,490,183","2,452,057","978,058",0,0,94
2024-10-08,"18,763,774","18,490,183","2,449,832","396,971",0,0,91
2024-10-01,"19,052,632","18,201,324","1,929,381","12,382",0,0,82
2024-09-24,"19,087,469","18,166,487","1,929,381","12,382",0,0,82
2024-09-17,"19,087,469","18,166,487","1,929,381","12,382",0,0,82
2024-09-10,"19,087,469","18,166,487","1,929,564","12,382",0,0,82
2024-09-03,"30,348,729","6,905,227","1,280,937",0,0,0,63
2024-08-27,"32,987,657","4,266,299","72,714","1,095",0,0,49
2024-08-20,"34,790,238","2,463,718","72,714","1,095",0,0,40
2024-08-13,"35,780,887","1,473,069","40,173",0,0,0,28
2024-08-06,"35,779,356","1,474,601","40,173",0,0,0,28
2024-07-30,"36,093,867","1,160,089","32,692",0,0,0,26
2024-07-23,"36,094,787","1,159,170","32,692",0,0,0,26
2024-07-16,"36,094,787","1,159,170","13,958",0,0,0,23
2024-07-09,"36,120,764","1,133,192","8,662",0,0,0,20
2024-07-02,"36,730,481","523,475",0,0,0,0,6
2024-06-25,"36,934,943","319,013",0,0,0,0,3
2024-06-18,"36,948,718","305,238",0,0,0,0,1
2024-06-11,"36,948,718","305,238",0,0,0,0,1
2024-06-04,"36,947,592","306,364",0,0,0,0,1
2024-05-28,"36,947,195","306,761",0,0,0,0,1
2024-05-21,"36,947,195","306,761",0,0,0,0,1
2024-05-14,"36,946,270","307,686",0,0,0,0,1
2024-05-07,"36,933,784","320,172",0,0,0,0,3
2024-04-30,"36,933,784","320,172",0,0,0,0,3
2024-04-23,"36,933,784","320,172",0,0,0,0,3
2024-04-16,"36,932,625","321,332",0,0,0,0,3
2024-04-09,"36,932,625","321,332",0,0,0,0,3
2024-04-02,"36,913,177","340,779",0,0,0,0,5
2024-03-26,"36,913,177","340,779",0,0,0,0,5
2024-03-19,"36,913,177","340,779",0,0,0,0,5
2024-03-12,"36,913,177","340,779",0,0,0,0,5
2024-03-05,"36,913,177","340,779",0,0,0,0,5
2024-02-27,"36,816,757","437,199",0,0,0,0,7
2024-02-20,"36,816,757","437,199",0,0,0,0,7
2024-02-13,"36,743,614","510,342",0,0,0,0,7
2024-02-06,"36,737,331","516,625",0,0,0,0,7
2024-01-30,"36,659,995","593,962",0,0,0,0,9
2024-01-23,"36,844,921","409,036",0,0,0,0,3
2024-01-16,"36,841,967","411,989",0,0,0,0,3
2024-01-09,"36,841,967","411,989",0,0,0,0,3
2024-01-02,"36,841,967","411,989",0,0,0,0,3
2023-12-26,"36,841,967","411,989",0,0,0,0,3
2023-12-19,"36,716,386","537,571",0,0,0,0,4
2023-12-12,"36,716,386","537,571",0,0,0,0,4
2023-12-05,"36,716,386","537,571",0,0,0,0,4
2023-11-28,"36,703,403","550,554",0,0,0,0,5
2023-11-21,"36,703,403","550,554",0,0,0,0,5
2023-11-14,"36,703,375","550,582",0,0,0,0,5
2023-11-07,"36,694,229","559,727",0,0,0,0,6
2023-10-31,"36,694,964","558,992",0,0,0,0,6
2023-10-24,"36,681,750","572,207",0,0,0,0,6
2023-10-17,"36,681,750","572,207",0,0,0,0,6
2023-10-10,"36,670,721","583,236","2,961",0,0,0,6
2023-10-03,"36,672,794","581,162","2,961",0,0,0,6
2023-09-26,"36,672,795","581,161","2,961",0,0,0,6
2023-09-19,"36,654,781","599,175","10,636",0,0,0,7
2023-09-12,"36,655,614","598,342","9,836",0,0,0,7
2023-09-05,"36,655,427","598,529","9,836",0,0,0,7
2023-08-29,"36,655,048","598,908","351,503",0,0,0,8
2023-08-22,"36,650,085","603,871","360,584",0,0,0,8
2023-08-15,"33,022,868","4,231,088","1,150,293",0,0,0,33
2023-08-08,"33,021,350","4,232,606","1,150,476",0,0,0,33
2023-08-01,"32,979,307","4,274,650","902,991",0,0,0,32
2023-07-25,"32,978,727","4,275,230","892,778",0,0,0,32
2023-07-18,"32,978,929","4,275,028","892,778",0,0,0,32
2023-07-11,"32,954,125","4,299,832","892,778",0,0,0,34
2023-07-04,"32,967,231","4,286,725","704,780",0,0,0,33
2023-06-27,"32,966,971","4,286,985","704,780",0,0,0,33
2023-06-20,"32,986,720","4,267,236","704,780",0,0,0,32
2023-06-13,"32,986,720","4,267,236","704,780",0,0,0,32
2023-06-06,"32,977,133","4,276,824","704,780",0,0,0,34
2023-05-30,"32,977,238","4,276,718","704,780",0,0,0,34
2023-05-23,"32,976,480","4,277,477","704,780",0,0,0,34
2023-05-16,"32,880,500","4,373,456","715,769",0,0,0,38
2023-05-09,"32,880,500","4,373,456","715,769",0,0,0,38
2023-05-02,"32,881,481","4,372,475","735,670",2,0,0,40
2023-04-25,"32,881,481","4,372,475","735,670",2,0,0,40
2023-04-18,"32,435,330","4,818,626","743,142",2,0,0,43
2023-04-11,"32,435,330","4,818,626","743,142",2,0,0,43
2023-04-04,"30,932,396","6,321,561","3,245,169","2,344",0,0,70
2023-03-28,"30,917,730","6,336,226","3,290,353","131,776",0,0,75
2023-03-21,"27,408,750","9,845,206","4,671,014","414,708",0,0,96
2023-03-14,"19,918,744","17,335,213","4,710,280","414,708",0,0,100
2023-03-07,"5,893,502","31,360,455","5,580,158","1,496,762",0,0,135
2023-02-28,"4,073,864","33,180,092","9,702,597","2,361,950",0,0,157
2023-02-21,"25,320","37,228,637","33,411,791","5,679,130",0,0,217
2023-02-14,"26,359","37,227,598","33,411,791","5,679,130",0,0,217
2023-02-07,"26,442","37,227,515","33,411,710","5,679,130",0,0,217
2023-01-31,"26,442","37,227,515","34,136,629","5,615,371",0,0,221
2023-01-24,"26,442","37,227,515","34,136,629","5,615,371",0,0,221
2023-01-17,"26,442","37,227,515","34,717,069","7,544,941",0,0,234
2023-01-10,0,"37,253,956","36,929,797","10,289,939","2,706",0,242
2023-01-03,0,"37,253,956","37,060,805","20,846,725","6,718,780",0,296
2022-12-27,0,"37,253,956","37,060,803","25,594,606","9,382,631","1,244,811",321
2022-12-20,0,"37,253,956","37,060,803","25,594,606","9,382,631","1,244,811",321
2022-12-13,0,"37,253,956","37,060,803","25,594,606","9,382,631","1,244,811",321
2022-12-06,12,"37,253,945","37,231,366","26,468,204","11,627,911","2,422,019",337
2022-11-29,4,"37,253,953","37,231,366","26,468,204","11,860,470","2,422,019",338
2022-11-22,2,"37,253,955","37,231,429","26,468,204","11,860,470","2,422,019",338
2022-11-15,2,"37,253,955","37,231,429","26,468,204","11,860,470","2,422,140",338
2022-11-08,2,"37,253,955","37,232,815","32,662,196","12,158,654","2,933,412",346
2022-11-01,2,"37,253,955","37,243,600","32,823,749","12,180,430","2,933,412",351
2022-10-25,2,"37,253,955","37,243,577","32,823,749","12,180,430","2,933,412",351
