State,"State name",County,"County name",Year,Month,Commodity,"Cause of loss (partial list)","Payment indemnity (US$)"
06,California,011,Colusa,2020,2,Wheat,Drought,1610.00
06,California,021,Glenn,2020,2,Wheat,Drought,42377.00
06,California,045,Mendocino,2020,4,Grapes,Drought,10836.00
06,California,067,Sacramento,2020,2,Barley,Drought,3557.00
06,California,095,Solano,2020,4,Triticale,Drought,21143.00
06,California,095,Solano,2020,2,Barley,Drought,66312.00
06,California,095,Solano,2020,2,Wheat,Drought,99313.00
06,California,095,Solano,2020,2,Triticale,Drought,43612.00
06,California,107,Tulare,2020,2,Wheat,Drought,809.00
06,California,107,Tulare,2020,3,Wheat,Drought,4921.00
06,California,107,Tulare,2020,1,Wheat,Drought,21835.00
06,California,113,Yolo,2020,2,Wheat,Drought,3046.00
06,California,113,Yolo,2020,4,Barley,Drought,2641.00
06,California,007,Butte,2021,4,"All Other Crops",Drought,2613.00
06,California,007,Butte,2021,3,"All Other Crops",Drought,22210.00
06,California,011,Colusa,2021,3,Wheat,Drought,14457.00
06,California,011,Colusa,2021,4,Wheat,Drought,6472.00
06,California,013,"Contra Costa",2021,9,Grapes,Drought,79539.00
06,California,017,"El Dorado",2021,8,Grapes,Drought,109777.60
06,California,017,"El Dorado",2021,6,Grapes,Drought,28968.00
06,California,021,Glenn,2021,2,Wheat,Drought,74959.00
06,California,029,Kern,2021,1,Wheat,Drought,13098.00
06,California,029,Kern,2021,3,Wheat,Drought,13098.00
06,California,029,Kern,2021,2,Wheat,Drought,13098.00
06,California,031,Kings,2021,9,Wheat,Drought,69489.80
06,California,031,Kings,2021,10,Wheat,Drought,69489.80
06,California,031,Kings,2021,11,Wheat,Drought,277959.20
06,California,041,Marin,2021,9,"All Other Crops",Drought,8680.00
06,California,041,Marin,2021,6,"All Other Crops",Drought,20884.00
06,California,041,Marin,2021,5,"All Other Crops",Drought,4665.00
06,California,041,Marin,2021,8,"All Other Crops",Drought,21444.00
06,California,045,Mendocino,2021,9,Grapes,Drought,968652.20
06,California,045,Mendocino,2021,7,Grapes,Drought,256506.00
06,California,045,Mendocino,2021,8,Grapes,Drought,565753.10
06,California,045,Mendocino,2021,6,Grapes,Drought,575221.80
06,California,045,Mendocino,2021,4,Grapes,Drought,1850591.00
06,California,055,Napa,2021,11,Grapes,Drought,1031885.00
06,California,055,Napa,2021,1,Grapes,Drought,846563.10
06,California,055,Napa,2021,6,Grapes,Drought,2166063.50
06,California,055,Napa,2021,7,Grapes,Drought,786396.00
06,California,055,Napa,2021,8,Grapes,Drought,1604468.70
06,California,055,Napa,2021,4,Grapes,Drought,934239.90
06,California,055,Napa,2021,10,Grapes,Drought,1642135.00
06,California,055,Napa,2021,9,Grapes,Drought,90650.00
06,California,055,Napa,2021,2,Grapes,Drought,87363.90
06,California,065,Riverside,2021,12,Wheat,Drought,62486.60
06,California,065,Riverside,2021,2,Wheat,Drought,79493.10
06,California,065,Riverside,2021,1,Wheat,Drought,79493.10
06,California,065,Riverside,2021,4,Wheat,Drought,475722.00
06,California,065,Riverside,2021,3,Wheat,Drought,17006.50
06,California,065,Riverside,2021,5,Wheat,Drought,5495.00
06,California,067,Sacramento,2021,1,Triticale,Drought,4448.00
06,California,067,Sacramento,2021,4,Barley,Drought,6267.00
